German Word,English Meaning,German Example Sentence,English Translation
der Arbeitgeber / die Arbeitgeberin,employer,"Ein guter Arbeitgeber fördert die Weiterbildung seiner Angestellten.","A good employer encourages the further training of his employees."
der Architekt / die Architektin,architect,"Die Architektin hat den Plan für das neue Bürogebäude entworfen.","The architect designed the plan for the new office building."
der Automechaniker / die Automechanikerin,car mechanic,"Der Automechaniker reparierte die Bremsen meines Wagens.","The car mechanic repaired my car's brakes."
der Autoproduzent,car manufacturer,"Deutschland ist bekannt für seine großen Autoproduzenten.","Germany is known for its large car manufacturers."
die Beratung,consultation,"Die Beratung durch die Agentur für Arbeit war sehr hilfreich.","The consultation by the employment agency was very helpful."
die Betreuung,care / support,"Die Betreuung der Kunden steht bei uns an erster Stelle.","Customer care is our top priority."
die Branche,industry / sector,"In welcher Branche möchten Sie später arbeiten?","In which industry would you like to work later?"
der Betrieb,business / company,"Der Betrieb hat über 50 Mitarbeiter.","The business has over 50 employees."
der Familienbetrieb,family business,"Sie führt den Familienbetrieb bereits in der dritten Generation.","She is managing the family business in the third generation already."
die Hilfsorganisation,aid agency,"Er arbeitet ehrenamtlich für eine internationale Hilfsorganisation.","He works voluntarily for an international aid agency."
das internationale Unternehmen,international company,"Ein internationales Unternehmen bietet oft Möglichkeiten im Ausland zu arbeiten.","An international company often offers opportunities to work abroad."
die Lebensmittelbranche,food industry,"Die Lebensmittelbranche muss strenge Hygienevorschriften beachten.","The food industry must observe strict hygiene regulations."
der Malerbetrieb,painting and decorating company,"Wir haben einen Malerbetrieb beauftragt, die Fassade zu streichen.","We hired a painting company to paint the facade."
der soziale Bereich,social field,"Berufe im sozialen Bereich erfordern viel Empathie.","Professions in the social field require a lot of empathy."
beschäftigen,to employ,"Die Firma beschäftigt momentan 200 Angestellte.","The company currently employs 200 staff members."
produzieren,to produce,"Wir produzieren Ersatzteile für die Automobilindustrie.","We produce spare parts for the automotive industry."
geistig,intellectual / mental,"Der Job ist körperlich leicht, aber geistig sehr anstrengend.","The job is physically easy but mentally very demanding."
handwerklich,technical / manual / craft-related,"Für diesen Beruf brauchen Sie handwerkliches Geschick.","You need manual skills for this profession."
sozial,social,"Er engagiert sich sehr für soziale Projekte in der Stadt.","He is very committed to social projects in the city."
die Grundschule,primary school,"In Deutschland besuchen Kinder vier Jahre lang die Grundschule.","In Germany, children attend primary school for four years."
die weiterführende Schule,secondary school,"Nach der Grundschule wechseln die Schüler auf eine weiterführende Schule.","After primary school, students move to a secondary school."
die Hauptschule,general secondary school,"Der Abschluss der Hauptschule ermöglicht eine Berufsausbildung.","The general secondary school certificate enables vocational training."
die Mittelschule,secondary school,"Die Mittelschule bietet verschiedene Bildungswege an.","The middle school offers various educational paths."
die Realschule,secondary school (intermediate),"Mit einem Abschluss der Realschule kann man viele kaufmännische Berufe lernen.","With a Realschule certificate, one can learn many commercial professions."
die Gesamtschule,comprehensive school,"Auf der Gesamtschule lernen Kinder mit unterschiedlichen Begabungen gemeinsam.","Children with different talents learn together at the comprehensive school."
das Gymnasium,grammar school,"Das Gymnasium bereitet die Schüler auf das Universitätsstudium vor.","The grammar school prepares students for university studies."
der Haupt-/Realschulabschluss,general/lower secondary school-leaving certificate,"Für diese Ausbildung reicht ein guter Hauptschulabschluss.","A good general school-leaving certificate is sufficient for this training."
das Abitur,school-leaving exam for university admission,"Nach dem Abitur möchte sie Medizin studieren.","After the Abitur, she wants to study medicine."
die Mittlere Reife,secondary school-leaving certificate,"Die Mittlere Reife ist Voraussetzung für viele Ausbildungsberufe.","The secondary school-leaving certificate is a requirement for many training professions."
die Berufsausbildung,vocational training,"Eine duale Berufsausbildung dauert meist drei Jahre.","Dual vocational training usually lasts three years."
der Berufsabschluss,vocational qualification,"Ein anerkannter Berufsabschluss verbessert die Gehaltschancen.","A recognised vocational qualification improves salary prospects."
der Bachelor,bachelor’s degree,"Er hat seinen Bachelor in Ingenieurwesen gemacht.","He completed his bachelor's degree in engineering."
der Master,master’s degree,"Für diese Führungsposition wird ein Master erwartet.","A master's degree is expected for this management position."
das Zertifikat,certificate,"Sie erhielt ein Zertifikat für ihre Teilnahme am Sprachkurs.","She received a certificate for her participation in the language course."
mehr als,more than,"Mehr als die Hälfte der Befragten ist zufrieden.","More than half of the respondents are satisfied."
weniger als,less/fewer than,"Weniger als zehn Prozent der Bewerber wurden eingeladen.","Fewer than ten percent of the applicants were invited."
(fast) alle,(almost) all,"Fast alle Mitarbeiter kamen zur Weihnachtsfeier.","Almost all employees came to the Christmas party."
die Hälfte,half,"Die Hälfte der Arbeit ist schon erledigt.","Half of the work is already done."
ein Viertel,one quarter,"Ein Viertel der Studenten wohnt noch bei den Eltern.","One quarter of the students still live with their parents."
ein Drittel,one third,"Ein Drittel des Budgets wurde für Marketing ausgegeben.","One third of the budget was spent on marketing."
jeder Zehnte,one in ten,"Jeder Zehnte arbeitet heutzutage im Homeoffice.","One in ten works from home nowadays."
der/die Ansprechpartner/-in,contact person,"Herr Müller ist Ihr Ansprechpartner für alle technischen Fragen.","Mr. Müller is your contact person for all technical questions."
die Beratungsstelle,advice centre,"Die Beratungsstelle hilft Jugendlichen bei der Berufswahl.","The advice centre helps young people with their career choice."
das Berufspraktikum,internship,"Während des Studiums muss ich ein sechsmonatiges Berufspraktikum machen.","During my studies, I have to do a six-month internship."
die duale Ausbildung,dual training,"Die duale Ausbildung verbindet Theorie in der Schule mit Praxis im Betrieb.","Dual training combines theory at school with practice in the company."
die Fachschule,technical college,"An der Fachschule kann man sich zum Techniker weiterbilden.","You can train to become a technician at the technical college."
die Fortbildung,continuing education,"Unsere Firma bietet regelmäßige Fortbildungen an.","Our company offers regular continuing education."
die Meisterprüfung,master craftsman’s examination,"Er hat gestern seine Meisterprüfung erfolgreich bestanden.","He successfully passed his master craftsman's examination yesterday."
der Schichtdienst,shift work,"Im Krankenhaus ist Schichtdienst völlig normal.","Shift work is normal in a hospital."
die staatliche Ausbildung,state-funded training,"Erzieher machen oft eine rein schulische, staatliche Ausbildung.","Educators often undergo purely school-based, state-funded training."
die Weiterbildung,further training course,"Eine Weiterbildung verbessert Ihre Chancen auf dem Arbeitsmarkt.","Further training improves your chances on the job market."
der Wunschberuf,profession of choice,"Tierarzt war schon immer mein Wunschberuf.","Veterinarian has always been my profession of choice."
die Zugangsvoraussetzungen,admission requirements,"Bitte prüfen Sie, ob Sie alle Zugangsvoraussetzungen erfüllen.","Please check if you meet all admission requirements."
einen Beruf ausüben,to practise a profession,"Sie übt ihren Beruf als Anwältin seit zehn Jahren aus.","She has been practising her profession as a lawyer for ten years."
anerkennen lassen,to have recognised,"Migranten müssen oft ihren Berufsabschluss anerkennen lassen.","Migrants often have to have their vocational qualification recognised."
finanzielle Unterstützung beantragen,to apply for financial support,"Studierende können finanzielle Unterstützung vom Staat beantragen.","Students can apply for financial support from the state."
jobben,to work on the side,"Viele Studenten jobben in Cafés oder Bars.","Many students work on the side in cafes or bars."
Pflicht sein,to be mandatory,"Der Sicherheitskurs ist für alle neuen Mitarbeiter Pflicht.","The safety course is mandatory for all new employees."
in der Verwaltung arbeiten,to work in administration,"Er arbeitet in der Verwaltung der Universität.","He works in the administration of the university."
sich selbstständig machen,to become self-employed,"Nach der Ausbildung möchte er sich selbstständig machen.","After the training, he wants to become self-employed."
zuständig sein,to be responsible,"Frau Klein ist für die Buchhaltung zuständig.","Ms. Klein is responsible for the bookkeeping."
die Schwäche,weakness,"Ungeduld ist manchmal meine größte Schwäche.","Impatience is sometimes my greatest weakness."
