Target Word,English Meaning,Example Sentence,English Translation
şirket,company / business,Şirket yirmi yıl önce kuruldu.,The company was founded twenty years ago.
sözleşme,contract,Sözleşme dün imzalandı.,The contract was signed yesterday.
müzakere etmek,to negotiate,İki taraf saatlerce müzakere etti.,Both parties negotiated for hours.
toplantı,meeting,Toplantı tam saat dokuzda başlıyor.,The meeting starts at nine o'clock sharp.
bütçe,budget,Belirlenen bütçeye uymamız gerekiyor.,We need to stick to the allocated budget.
yönetmek,to manage,Ekibini çok iyi yönetiyor.,She manages her team very well.
hedef,objective / goal,Asıl hedefimiz satışları artırmak.,Our main objective is to increase sales.
strateji,strategy,Uzun vadeli net bir strateji belirlemek gerekiyor.,A clear long-term strategy needs to be set.
kâr,profit,Şirket bu yıl rekor kâr elde etti.,The company achieved record profit this year.
rekabet,competition,Bu sektörde rekabet çok yoğun.,Competition is very intense in this sector.
eğitmek,to train,Yeni çalışanları gelecek hafta eğiteceğiz.,We will train the new employees next week.
rapor,report,Raporun Cuma gününe kadar teslim edilmesi gerekiyor.,The report needs to be submitted by Friday.
yatırım yapmak,to invest,Belirsizlik dönemlerinde yatırım yapmak risklidir.,Investing during times of uncertainty is risky.
büyüme,growth,Ekonomik büyüme birkaç aydır yavaşlıyor.,Economic growth has been slowing for several months.
pazar,market,Bu yeni ürün belirli bir pazara yönelik.,This new product targets a specific market.
