Target Word,English Meaning,Example Sentence,English Translation
el trabajo,work,Tengo mucho trabajo hoy.,I have a lot of work today.
la empresa,company,La empresa tiene cien empleados.,The company has one hundred employees.
la reunión,meeting,La reunión empieza a las nueve.,The meeting starts at nine.
el contrato,contract,Firmamos el contrato ayer.,We signed the contract yesterday.
el salario,salary,Mi salario es suficiente.,My salary is sufficient.
la experiencia,experience,Tiene mucha experiencia profesional.,He has a lot of professional experience.
el jefe / la jefa,boss / manager,Mi jefa es muy comprensiva.,My boss is very understanding.
el colega / la colega,colleague,Mis colegas son muy amables.,My colleagues are very friendly.
la entrevista,interview,La entrevista fue difícil.,The interview was difficult.
el currículum,CV / résumé,Envié mi currículum ayer.,I sent my CV yesterday.
la formación,training / education,La formación continua es importante.,Continuous training is important.
el departamento,department,Trabajo en el departamento de ventas.,I work in the sales department.
la responsabilidad,responsibility,Tengo mucha responsabilidad en mi trabajo.,I have a lot of responsibility in my job.
el proyecto,project,El proyecto terminó a tiempo.,The project finished on time.
la habilidad,skill / ability,Tienes muchas habilidades útiles.,You have many useful skills.
el horario,schedule / timetable,Mi horario es flexible.,My schedule is flexible.
la capacidad,capacity / ability,Tiene gran capacidad de liderazgo.,He has great leadership capacity.
el objetivo,objective / goal,Nuestro objetivo principal es crecer.,Our main objective is to grow.
el mercado laboral,labour market,El mercado laboral está cambiando.,The labour market is changing.
la negociación,negotiation,La negociación fue larga.,The negotiation was long.
el sindicato,trade union,El sindicato defiende los derechos laborales.,The trade union defends labour rights.
la productividad,productivity,La productividad ha mejorado.,Productivity has improved.
el presupuesto,budget,Necesitamos reducir el presupuesto.,We need to reduce the budget.
la innovación,innovation,La innovación es clave para el éxito.,Innovation is key to success.
la estrategia,strategy,La estrategia de marketing funciona.,The marketing strategy works.
