Target Word,English Meaning,Example Sentence,English Translation
hola,hello,¡Hola! ¿Cómo estás?,Hello! How are you?
gracias,thank you,Gracias por tu ayuda.,Thank you for your help.
por favor,please,¿Puedes ayudarme por favor?,Can you help me please?
la casa,house,La casa tiene un jardín grande.,The house has a large garden.
el agua,water,Bebo mucho agua cada día.,I drink a lot of water every day.
comer,to eat,Comemos juntos cada noche.,We eat together every evening.
el libro,book,Estoy leyendo un libro interesante.,I am reading an interesting book.
hablar,to speak,Me gusta hablar español.,I like to speak Spanish.
el amigo / la amiga,friend,Mi amiga vive en Madrid.,My friend lives in Madrid.
el tiempo,weather / time,El tiempo está muy bueno hoy.,The weather is very good today.
