Target Word,English Meaning,Example Sentence,English Translation
l'appartamento,apartment,Il mio appartamento è al terzo piano.,My apartment is on the third floor.
il supermercato,supermarket,Vado al supermercato questo pomeriggio.,I am going to the supermarket this afternoon.
la colazione,breakfast,Faccio colazione alle sette.,I have breakfast at seven o'clock.
viaggiare,to travel,Adoro viaggiare in Europa.,I love travelling around Europe.
il treno,train,Il treno parte alle nove.,The train leaves at nine o'clock.
ammalato / ammalata,sick / ill,Ero ammalato la settimana scorsa.,I was sick last week.
comprare,to buy,Voglio comprare dei vestiti nuovi.,I want to buy new clothes.
capire,to understand,Non capisco questa domanda.,I do not understand this question.
cercare,to look for,Sto cercando un buon ristorante.,I am looking for a good restaurant.
la città,city,La città ha molti musei.,The city has many museums.
tornare,to return / go back,Torno a casa alle diciannove.,I go home at seven in the evening.
la strada,street,Ci sono molti negozi in questa strada.,There are many shops on this street.
il negozio,shop / store,Il negozio chiude alle venti.,The shop closes at eight in the evening.
imparare,to learn,Studio italiano da due anni.,I have been learning Italian for two years.
trovare,to find,Non trovo le mie chiavi.,I cannot find my keys.
