German Word,English Meaning,German Example Sentence,English Translation
sich selbstständig machen,to become self-employed,Nach der Ausbildung möchte er sich selbstständig machen.,"After the training, he wants to become self-employed."
die Schwäche,weakness,Ungeduld ist manchmal meine größte Schwäche.,Impatience is sometimes my greatest weakness.
die Stärke,strength,Zu meinen Stärken gehört meine Teamfähigkeit.,My ability to work in a team is one of my strengths.
belastbar,resilient,In stressigen Situationen müssen Sie sehr belastbar sein.,"In stressful situations, you must be very resilient."
eigeninitiativ,on one's own initiative,"Wir suchen Mitarbeiter, die eigeninitiativ Probleme lösen.",We are looking for employees who solve problems on their own initiative.
flexibel,flexible,"Sie müssen flexibel sein, was die Arbeitszeiten angeht.",You must be flexible regarding working hours.
hilfsbereit,helpful,Die Kollegen waren am ersten Tag sehr hilfsbereit.,The colleagues were very helpful on the first day.
kreativ,creative,Für das Marketing brauchen wir kreative Köpfe.,We need creative minds for marketing.
(un-)organisiert,(dis)organised,Ein unorganisierter Arbeitsplatz kostet Zeit.,A disorganized workplace wastes time.
selbstbewusst,self-assured,Sie trat im Vorstellungsgespräch sehr selbstbewusst auf.,She appeared very self-assured in the interview.
teamfähig,capable of teamwork,Sind Sie teamfähig oder arbeiten Sie lieber allein?,Are you capable of teamwork or do you prefer working alone?
tolerant,tolerant,In einem internationalen Team muss man tolerant sein.,"In an international team, one must be tolerant."
verantwortungsbewusst,responsible,Er geht sehr verantwortungsbewusst mit den Firmendaten um.,He handles company data very responsibly.
die Qualifikation,qualification,Welche Qualifikation bringen Sie für diese Stelle mit?,What qualification do you bring for this position?
die Schwäche,Weakness,Jeder Mensch hat seine Stärken und Schwächen.,Every human has their strengths and weaknesses.
das Bewusstsein verlieren,To lose consciousness,Er verlor nach dem Unfall kurz das Bewusstsein.,He briefly lost consciousness after the accident.
die Fähigkeit,Ability / Skill,"Sie besitzt die Fähigkeit, komplexe Dinge einfach zu erklären.",She possesses the ability to explain complex things simply.
das Selbstvertrauen,Self-confidence,"Sport kann dabei helfen, das Selbstvertrauen zu stärken.",Sport can help to strengthen self-confidence.
das Markenbewusstsein,Brand awareness,Bei Jugendlichen ist das Markenbewusstsein oft sehr ausgeprägt.,Brand awareness is often very pronounced among young people.
der Selbstzweifel,Self-doubt,Selbstzweifel können den Fortschritt behindern.,Self-doubt can hinder progress.
die Selbstwahrnehmung,Self-perception,Eine gesunde Selbstwahrnehmung ist wichtig.,A healthy self-perception is important.
