German Word,English Meaning,German Example Sentence,English Translation
die Krankmeldung,sick note,Die Krankmeldung muss am ersten Tag vorliegen.,The sick note must be submitted on the first day.
die Alarmanlage einschalten,to activate the alarm system,"Vergessen Sie nicht, abends die Alarmanlage einzuschalten.",Don't forget to activate the alarm system in the evening.
der Krankenschein,health insurance certificate / sick slip,Bitte schicken Sie den Krankenschein an die Personalabteilung.,Please send the health insurance certificate to the HR department.
die Krankmeldung,sick note,Ohne Krankmeldung bekommen Sie kein Geld.,"Without a sick note, you won't get any money."
einen Arzt rufen,to call a doctor,Wir mussten sofort einen Arzt rufen.,We had to call a doctor immediately.
gesundheitliche Probleme haben,to have health problems,"Wenn Sie gesundheitliche Probleme haben, melden Sie sich bitte.","If you have health problems, please report them."
sich krankmelden,to call in sick,Er musste sich heute Morgen krankmelden.,He had to call in sick this morning.
die Vertretung organisieren,to organise a stand-in,"Wer organisiert die Vertretung, wenn du im Urlaub bist?",Who organises the stand-in when you are on vacation?
Schmerzen aushalten,to endure pain,Ich kann die Schmerzen kaum aushalten.,I can hardly endure the pain.
der Gesundheits- und Krankenpfleger,nurse,Der Krankenpfleger kümmert sich um die Patienten.,The nurse takes care of the patients.
der Veranstalter,organiser,Der Veranstalter erwartet 5000 Besucher.,The organiser expects 5000 visitors.
die Blutung,bleeding,Stoppen Sie die Blutung mit einem Verband.,Stop the bleeding with a bandage.
zufügen,to inflict / cause (harm),Ich wollte dir mit meiner Kritik keinen Schmerz zufügen.,I did not want to cause you any pain with my criticism.
einhaken,to hook in / link arms,"Sie hakte sich bei ihrem Mann ein, als sie spazieren gingen.",She linked arms with her husband as they went for a walk.
umarmen,to hug,Sie umarmten sich herzlich zur Begrüßung.,They hugged each other warmly in greeting.
herzhaft,hearty / savory,Nach der Wanderung hatten wir Lust auf ein herzhaftes Essen.,After the hike we felt like a hearty meal.
der Herzinfarkt,the heart attack,Er musste nach einem Herzinfarkt im Krankenhaus bleiben.,He had to stay in the hospital after a heart attack.
der Veranstalter,the organizer,Der Veranstalter hat das Konzert wegen des Regens abgesagt.,The organizer cancelled the concert because of the rain.
der Knochen,Bone,"Der Arzt prüfte, ob der Knochen gebrochen ist.",The doctor checked if the bone is broken.
die Pflichtverletzung,Breach of duty,Die Kündigung erfolgte aufgrund einer schweren Pflichtverletzung.,The termination occurred due to a serious breach of duty.
verletzlich,Vulnerable,Jeder Mensch hat eine verletzliche Seite.,Every human has a vulnerable side.
