German Word,English Meaning,German Example Sentence,English Translation
der Arbeitgeber / die Arbeitgeberin,employer,Ein guter Arbeitgeber fördert die Weiterbildung seiner Angestellten.,A good employer encourages the further training of his employees.
der Architekt / die Architektin,architect,Die Architektin hat den Plan für das neue Bürogebäude entworfen.,The architect designed the plan for the new office building.
der Automechaniker / die Automechanikerin,car mechanic,Der Automechaniker reparierte die Bremsen meines Wagens.,The car mechanic repaired my car's brakes.
der Autoproduzent,car manufacturer,Deutschland ist bekannt für seine großen Autoproduzenten.,Germany is known for its large car manufacturers.
die Branche,industry / sector,In welcher Branche möchten Sie später arbeiten?,In which industry would you like to work later?
der Betrieb,business / company,Der Betrieb hat über 50 Mitarbeiter.,The business has over 50 employees.
der Familienbetrieb,family business,Sie führt den Familienbetrieb bereits in der dritten Generation.,She is managing the family business in the third generation already.
die Hilfsorganisation,aid agency,Er arbeitet ehrenamtlich für eine internationale Hilfsorganisation.,He works voluntarily for an international aid agency.
das internationale Unternehmen,international company,Ein internationales Unternehmen bietet oft Möglichkeiten im Ausland zu arbeiten.,An international company often offers opportunities to work abroad.
die Lebensmittelbranche,food industry,Die Lebensmittelbranche muss strenge Hygienevorschriften beachten.,The food industry must observe strict hygiene regulations.
der Malerbetrieb,painting and decorating company,"Wir haben einen Malerbetrieb beauftragt, die Fassade zu streichen.",We hired a painting company to paint the facade.
die Berufsausbildung,vocational training,Eine duale Berufsausbildung dauert meist drei Jahre.,Dual vocational training usually lasts three years.
der Berufsabschluss,vocational qualification,Ein anerkannter Berufsabschluss verbessert die Gehaltschancen.,A recognised vocational qualification improves salary prospects.
die Beratungsstelle,advice centre,Die Beratungsstelle hilft Jugendlichen bei der Berufswahl.,The advice centre helps young people with their career choice.
das Berufspraktikum,internship,Während des Studiums muss ich ein sechsmonatiges Berufspraktikum machen.,"During my studies, I have to do a six-month internship."
der Wunschberuf,profession of choice,Tierarzt war schon immer mein Wunschberuf.,Veterinarian has always been my profession of choice.
einen Beruf ausüben,to practise a profession,Sie übt ihren Beruf als Anwältin seit zehn Jahren aus.,She has been practising her profession as a lawyer for ten years.
jobben,to work on the side,Viele Studenten jobben in Cafés oder Bars.,Many students work on the side in cafes or bars.
in der Verwaltung arbeiten,to work in administration,Er arbeitet in der Verwaltung der Universität.,He works in the administration of the university.
der Arbeitsablauf,workflow,Wir müssen den Arbeitsablauf in der Produktion optimieren.,We need to optimize the workflow in production.
das Berufsfeld,professional field,In welchem Berufsfeld möchten Sie zukünftig arbeiten?,In which professional field would you like to work in the future?
der Handwerker / die Handwerkerin,craftsman / craftswoman,Der Handwerker hat das Dach schnell repariert.,The craftsman repaired the roof quickly.
der MINT-Beruf,STEM profession,Frauen werden verstärkt für MINT-Berufe geworben.,Women are increasingly being recruited for STEM professions.
der gefragte Beruf,sought-after profession,Altenpfleger ist ein sehr gefragter Beruf in Deutschland.,Geriatric nurse is a very sought-after profession in Germany.
sich beruflich neu orientieren,to set out in a new professional direction,Nach zehn Jahren im Verkauf möchte sie sich beruflich neu orientieren.,"After ten years in sales, she wants to set out in a new professional direction."
die berufliche Anerkennung beantragen,to apply for professional recognition,Er hat die berufliche Anerkennung seines Diploms beantragt.,He has applied for professional recognition of his diploma.
die freiberufliche Tätigkeit,freelance work,Er meldete seine freiberufliche Tätigkeit beim Finanzamt an.,He registered his freelance work with the tax office.
ein Unternehmen gründen,to start a company,Sie wollen gemeinsam ein Unternehmen gründen.,They want to start a company together.
die Berufserfahrung,professional experience,Viel Berufserfahrung ist für diese Position von Vorteil.,A lot of professional experience is an advantage for this position.
das Stellengesuch,advertisement seeking employment,Er gab ein Stellengesuch in der lokalen Zeitung auf.,He placed an advertisement seeking employment in the local newspaper.
der Arbeitssuchende / die Arbeitssuchende,job seeker,Die Messe bietet Arbeitssuchenden gute Kontaktmöglichkeiten.,The fair offers job seekers good networking opportunities.
das mittelständische Unternehmen,medium-sized company,Er arbeitet lieber in einem mittelständischen Unternehmen als in einem Konzern.,He prefers working in a medium-sized company rather than a corporation.
sich um eine Stelle bewerben,to apply for a job,Sie hat sich um eine Stelle als Abteilungsleiterin beworben.,She applied for a job as a department head.
die berufliche Station,career stage,Seine letzte berufliche Station war in London.,His last career stage was in London.
die ausgeschriebene Stelle,advertised position,Die ausgeschriebene Stelle passt genau zu meinem Profil.,The advertised position fits my profile exactly.
eine Stelle antreten,to take up a position,Wann können Sie die Stelle antreten?,When can you take up the position?
