Target Word,English Meaning,Example Sentence,English Translation
contract,a legally binding agreement,The contract was signed yesterday.,The contract was signed yesterday.
to negotiate,to discuss terms to reach an agreement,Both parties negotiated for several hours.,Both parties negotiated for several hours.
meeting,a gathering of people to discuss,The meeting starts at nine o'clock sharp.,The meeting starts at nine o'clock sharp.
budget,a financial plan,We must stick to the allocated budget.,We must stick to the allocated budget.
to manage,to be in charge of,She is very good at managing her team.,She is very good at managing her team.
objective,a goal or aim,Our main objective is to increase sales.,Our main objective is to increase sales.
strategy,a plan of action to achieve a goal,A clear long-term strategy must be defined.,A clear long-term strategy must be defined.
profit,financial gain after costs,The company made a record profit this year.,The company made a record profit this year.
competition,rivalry between parties,Competition is very strong in this sector.,Competition is very strong in this sector.
to train,to teach skills through practice,We will train the new employees next week.,We will train the new employees next week.
report,a detailed account of something,The report must be submitted before Friday.,The report must be submitted before Friday.
to invest,to put money into something for gain,It is risky to invest during times of uncertainty.,It is risky to invest during times of uncertainty.
growth,the process of increasing in size,Economic growth has been slowing for several months.,Economic growth has been slowing for several months.
market,a place or system of trade,This new product targets a specific market.,This new product targets a specific market.
deadline,the latest time for completing a task,We need to meet the deadline or we will lose the contract.,We need to meet the deadline or we will lose the contract.
