German Word,English Meaning,German Example Sentence,English Translation
die Grundschule,primary school,In Deutschland besuchen Kinder vier Jahre lang die Grundschule.,"In Germany, children attend primary school for four years."
die weiterführende Schule,secondary school,Nach der Grundschule wechseln die Schüler auf eine weiterführende Schule.,"After primary school, students move to a secondary school."
die Hauptschule,general secondary school,Der Abschluss der Hauptschule ermöglicht eine Berufsausbildung.,The general secondary school certificate enables vocational training.
die Mittelschule,secondary school,Die Mittelschule bietet verschiedene Bildungswege an.,The middle school offers various educational paths.
die Realschule,secondary school (intermediate),Mit einem Abschluss der Realschule kann man viele kaufmännische Berufe lernen.,"With a Realschule certificate, one can learn many commercial professions."
die Gesamtschule,comprehensive school,Auf der Gesamtschule lernen Kinder mit unterschiedlichen Begabungen gemeinsam.,Children with different talents learn together at the comprehensive school.
das Gymnasium,grammar school,Das Gymnasium bereitet die Schüler auf das Universitätsstudium vor.,The grammar school prepares students for university studies.
der Haupt-/Realschulabschluss,general/lower secondary school-leaving certificate,Für diese Ausbildung reicht ein guter Hauptschulabschluss.,A good general school-leaving certificate is sufficient for this training.
das Abitur,school-leaving exam for university admission,Nach dem Abitur möchte sie Medizin studieren.,"After the Abitur, she wants to study medicine."
der Bachelor,bachelor’s degree,Er hat seinen Bachelor in Ingenieurwesen gemacht.,He completed his bachelor's degree in engineering.
der Master,master’s degree,Für diese Führungsposition wird ein Master erwartet.,A master's degree is expected for this management position.
das Zertifikat,certificate,Sie erhielt ein Zertifikat für ihre Teilnahme am Sprachkurs.,She received a certificate for her participation in the language course.
die duale Ausbildung,dual training,Die duale Ausbildung verbindet Theorie in der Schule mit Praxis im Betrieb.,Dual training combines theory at school with practice in the company.
die Fachschule,technical college,An der Fachschule kann man sich zum Techniker weiterbilden.,You can train to become a technician at the technical college.
die Fortbildung,continuing education,Unsere Firma bietet regelmäßige Fortbildungen an.,Our company offers regular continuing education.
die Meisterprüfung,master craftsman’s examination,Er hat gestern seine Meisterprüfung erfolgreich bestanden.,He successfully passed his master craftsman's examination yesterday.
die staatliche Ausbildung,state-funded training,"Erzieher machen oft eine rein schulische, staatliche Ausbildung.","Educators often undergo purely school-based, state-funded training."
die Weiterbildung,further training course,Eine Weiterbildung verbessert Ihre Chancen auf dem Arbeitsmarkt.,Further training improves your chances on the job market.
das Zeugnis,report / reference,Das Arbeitszeugnis war sehr positiv.,The job reference was very positive.
der Lehrgang,course,Der Lehrgang dauert insgesamt sechs Wochen.,The course lasts six weeks in total.
die Meisterprüfung machen,to take the master craftsman's examination,Er will nächstes Jahr seine Meisterprüfung machen.,He wants to take his master craftsman's examination next year.
die Schulbildung,school education,Bitte geben Sie Details zu Ihrer Schulbildung an.,Please provide details about your school education.
eine schwierige Situation meistern,to master a difficult situation,Sie hat die schwierige Situation souverän gemeistert.,She mastered the difficult situation confidently.
die Ausbildung,training,Sie hat ihre Ausbildung zur Kauffrau abgeschlossen.,She completed her training as a merchant.
die Fortbildungsakademie,advanced training academy,Die Fortbildungsakademie bietet Kurse für Führungskräfte.,The advanced training academy offers courses for executives.
die fundierte Ausbildung,sound training,Eine fundierte Ausbildung ist die Basis für den Erfolg.,Sound training is the basis for success.
die Ausbildung verkürzen,to shorten the training,Bei guten Noten kann man die Ausbildung verkürzen.,"With good grades, you can shorten the training."
