German Word,English Meaning,German Example Sentence,English Translation
der/die Ansprechpartner/-in,contact person,Herr Müller ist Ihr Ansprechpartner für alle technischen Fragen.,Mr. Müller is your contact person for all technical questions.
die persönlichen Daten (Pl.),personal information,Die persönlichen Daten stehen meist am Anfang des Lebenslaufs.,Personal information usually appears at the beginning of the CV.
ein Bewerbungsschreiben verfassen,to write a letter of application,"Es ist nicht einfach, ein gutes Bewerbungsschreiben zu verfassen.",It is not easy to write a good letter of application.
den Interessen entsprechen,to match the interests,Die Aufgaben entsprechen genau meinen Interessen.,The tasks match my interests exactly.
absagen (Termin),to cancel,Ich muss den Termin leider kurzfristig absagen.,"Unfortunately, I have to cancel the appointment at short notice."
den Unfallbericht schreiben,to write the accident report,Der Sicherheitsbeauftragte muss den Unfallbericht schreiben.,The safety officer must write the accident report.
auf den Anrufbeantworter sprechen,to leave a message on the answering machine,Bitte sprechen Sie nach dem Signalton auf den Anrufbeantworter.,Please leave a message on the answering machine after the beep.
Auskunft geben,to provide information,Können Sie mir Auskunft über die Preise geben?,Can you provide me with information about the prices?
außerhalb der Sprechzeit anrufen,to call outside office hours,Sie rufen leider außerhalb unserer Sprechzeiten an.,"Unfortunately, you are calling outside our office hours."
eine kurze Rückmeldung geben,to give brief feedback,Könnten Sie mir bitte bis morgen eine kurze Rückmeldung geben?,Could you please give me brief feedback by tomorrow?
die Besprechung,meeting,Die Besprechung dauert voraussichtlich eine Stunde.,The meeting is expected to last one hour.
Bedenken äußern,to express concerns,Der Betriebsrat äußerte Bedenken gegen den Plan.,The works council expressed concerns about the plan.
der Besprechungsraum,conference room,Ist der große Besprechungsraum für morgen reserviert?,Is the large conference room booked for tomorrow?
absagen,to cancel,Ich muss den Termin leider krankheitsbedingt absagen.,Unfortunately I have to cancel the appointment due to illness.
die Ab-/Zusage,cancellation / acceptance,Ich warte noch auf eine Zusage für den Job.,I am still waiting for an acceptance for the job.
Einzelheiten besprechen,to discuss details,Wir müssen noch die Einzelheiten des Vertrags besprechen.,We still have to discuss the details of the contract.
sich auf das Gespräch konzentrieren,to focus on the conversation,Bitte konzentrieren Sie sich auf das Gespräch.,Please focus on the conversation.
die Bürokommunikation,office communication,Moderne Bürokommunikation ist effizient.,Modern office communication is efficient.
jmdm. etw. ausrichten,to pass on a message,"Ich werde ihm ausrichten, dass Sie angerufen haben.",I will pass on the message that you called.
eine Nachricht hinterlassen,to leave a message,Möchten Sie eine Nachricht hinterlassen?,Would you like to leave a message?
das Streitgespräch,disputation / argument,Das Streitgespräch wurde sehr emotional geführt.,The argument was conducted very emotionally.
nicht den Angaben entsprechen,not to be consistent with the information,Das Produkt entspricht nicht den Angaben im Katalog.,The product is not consistent with the information in the catalogue.
das konstruktive Streitgespräch,constructive disputation,Ein konstruktives Streitgespräch kann Lösungen bringen.,A constructive disputation can bring solutions.
das Besprechungsprotokoll,minutes of the meeting,Wer schreibt heute das Besprechungsprotokoll?,Who is writing the minutes of the meeting today?
die Teambesprechung,team meeting,In der Teambesprechung verteilen wir die Aufgaben.,"In the team meeting, we distribute the tasks."
die Vorbesprechung,preliminary discussion,Wir treffen uns zur Vorbesprechung um 9 Uhr.,We meet for the preliminary discussion at 9 a.m.
mailen,to email,Können Sie mir die Datei bitte mailen?,Can you email me the file please?
widersprechen,to contradict,Da muss ich Ihnen leider widersprechen.,"Unfortunately, I have to contradict you there."
die Besprechungsunterlagen,meeting documents,Haben alle die Besprechungsunterlagen erhalten?,Has everyone received the meeting documents?
die Unstimmigkeit,discrepancy / disagreement,Es gab einige Unstimmigkeiten im Vertrag.,There were some discrepancies in the contract.
die Umschreibung,paraphrase / description,Das Wort ist eine gute Umschreibung für diesen Zustand.,The word is a good description for this condition.
entsprechen,to correspond to,Das Ergebnis entspricht meinen Erwartungen.,The result corresponds to my expectations.
verfassen,to write / compose,Er hat einen langen Brief verfasst.,He wrote a long letter.
widersprechen,to contradict,"Ich muss Ihnen leider widersprechen, die Zahlen stimmen nicht.","Unfortunately I have to contradict you, the numbers are not correct."
vorhersagbar,Predictable,Das Ende des Films war leider sehr vorhersagbar.,The end of the movie was unfortunately very predictable.
mitteilen,To inform / To announce,Der Chef teilte uns die Neuigkeiten gestern mit.,The boss informed us of the news yesterday.
der Ansprechpartner,Contact person,Wer ist mein Ansprechpartner für technische Fragen?,Who is my contact person for technical questions?
die Absage / die Zusage,Rejection / Acceptance,Ich warte noch auf eine Zusage für den Job.,I am still waiting for an acceptance for the job.
der Tonfall,Tone of voice,Sein Tonfall klang am Telefon etwas genervt.,His tone of voice sounded a bit annoyed on the phone.
die Einschreibung,Enrollment / Matriculation,Die Einschreibung findet dieses Jahr online statt.,Enrollment is taking place online this year.
