German Word,English Meaning,German Example Sentence,English Translation
zufrieden sein mit,to be satisfied with,Sind Sie mit der Qualität unserer Arbeit zufrieden?,Are you satisfied with the quality of our work?
auf Dauer unzufrieden sein,to be dissatisfied in the long run,Auf Dauer bin ich in diesem Job unzufrieden.,"In the long run, I am dissatisfied in this job."
die Bestimmungen (Pl.),regulations,Bitte beachten Sie die gesetzlichen Bestimmungen.,Please observe the statutory regulations.
die Begeisterung,enthusiasm,Ihre Begeisterung für Musik ist wirklich ansteckend.,Her enthusiasm for music is really contagious.
verzweifelt,desperate,"Sie war verzweifelt, weil sie ihren Schlüssel verloren hatte.",She was desperate because she had lost her key.
die Übereinstimmung,Agreement / Consensus,Wir haben in diesem Punkt eine volle Übereinstimmung.,We have full agreement on this point.
enttäuscht,Disappointed,Er war sehr enttäuscht von dem Ergebnis.,He was very disappointed with the result.
emotional,Emotional,Das war ein sehr emotionaler Moment.,That was a very emotional moment.
eifersüchtig / neidisch,Jealous / Envious,Er ist eifersüchtig auf den Erfolg seines Kollegen.,He is jealous of his colleague's success.
mitfühlend / das Mitgefühl,Compassionate / Compassion,Sie ist eine sehr mitfühlende Person.,She is a very compassionate person.
verzweifelt,Desperate,Sie suchte verzweifelt nach ihrem Hausschlüssel.,She desperately looked for her house key.
gefühlsbetont,Emotive / Sentimental,Seine Rede war sehr gefühlsbetont.,His speech was very emotional.
