Target Word,English Meaning,Example Sentence,English Translation
l'azienda,company / business,L'azienda è stata fondata vent'anni fa.,The company was founded twenty years ago.
il contratto,contract,Il contratto è stato firmato ieri.,The contract was signed yesterday.
negoziare,to negotiate,Le due parti hanno negoziato per ore.,Both parties negotiated for hours.
la riunione,meeting,La riunione inizia alle nove in punto.,The meeting starts at nine o'clock sharp.
il bilancio,budget,Dobbiamo rispettare il bilancio assegnato.,We must stick to the allocated budget.
gestire,to manage,Sa gestire molto bene il suo team.,She is very good at managing her team.
l'obiettivo,objective / goal,Il nostro obiettivo principale è aumentare le vendite.,Our main objective is to increase sales.
la strategia,strategy,Occorre definire una strategia chiara a lungo termine.,A clear long-term strategy must be defined.
il profitto,profit,L'azienda ha registrato un profitto record quest'anno.,The company recorded a record profit this year.
la concorrenza,competition,La concorrenza è molto forte in questo settore.,Competition is very strong in this sector.
formare,to train / to form,La prossima settimana formeremo i nuovi dipendenti.,We will train the new employees next week.
il rapporto,report,Il rapporto deve essere consegnato entro venerdì.,The report must be submitted by Friday.
investire,to invest,Investire in periodi di incertezza è rischioso.,Investing during times of uncertainty is risky.
la crescita,growth,La crescita economica rallenta da qualche mese.,Economic growth has been slowing for several months.
il mercato,market,Questo nuovo prodotto si rivolge a un mercato specifico.,This new product targets a specific market.
