Target Word,English Meaning,Example Sentence,English Translation
daire,apartment,Dairem üçüncü katta.,My apartment is on the third floor.
süpermarket,supermarket,Bu öğleden sonra süpermarkete gidiyorum.,I am going to the supermarket this afternoon.
kahvaltı,breakfast,Saat yedide kahvaltı yapıyorum.,I have breakfast at seven o'clock.
seyahat etmek,to travel,Avrupa'da seyahat etmeyi çok seviyorum.,I love travelling around Europe.
tren,train,Tren saat dokuzda kalkıyor.,The train leaves at nine o'clock.
hasta,sick / ill,Geçen hafta hastaydım.,I was sick last week.
satın almak,to buy,Yeni kıyafetler satın almak istiyorum.,I want to buy new clothes.
anlamak,to understand,Bu soruyu anlamıyorum.,I do not understand this question.
aramak,to look for,İyi bir restoran arıyorum.,I am looking for a good restaurant.
şehir,city,Şehirde pek çok müze var.,The city has many museums.
dönmek,to return / go back,Saat on dokuzda eve dönüyorum.,I go home at seven in the evening.
sokak,street,Bu sokakta pek çok dükkan var.,There are many shops on this street.
dükkan,shop / store,Dükkan saat yirmide kapanıyor.,The shop closes at eight in the evening.
öğrenmek,to learn,İki yıldır Türkçe öğreniyorum.,I have been learning Turkish for two years.
bulmak,to find,Anahtarlarımı bulamıyorum.,I cannot find my keys.
