German Word,English Meaning,German Example Sentence,English Translation
der soziale Bereich,social field,Berufe im sozialen Bereich erfordern viel Empathie.,Professions in the social field require a lot of empathy.
sozial,social,Er engagiert sich sehr für soziale Projekte in der Stadt.,He is very committed to social projects in the city.
der Öffentliche Dienst,public service,Viele Menschen streben eine Karriere im Öffentlichen Dienst an.,Many people strive for a career in public service.
traditionsreich,rich in tradition,Wir sind ein traditionsreiches Familienunternehmen.,We are a family business rich in tradition.
die Sozialleistungen (Pl.),social benefits,Die Firma bietet attraktive Sozialleistungen.,The company offers attractive social benefits.
gesellschaftlich anerkannt sein,to be socially recognised,Der Beruf ist gesellschaftlich hoch anerkannt.,The profession is socially highly recognised.
die Fahrgemeinschaft,carpool,Wir haben eine Fahrgemeinschaft zur Messe gebildet.,We formed a carpool to the trade fair.
der Solidaritätszuschlag,solidarity surcharge,Der Solidaritätszuschlag wurde teilweise abgeschafft.,The solidarity surcharge was partially abolished.
die Integration,integration,Die Integration neuer Mitarbeiter ist wichtig.,The integration of new employees is important.
gesellschaftlich,social / societal,Das ist eine wichtige gesellschaftliche Debatte.,That is an important societal debate.
die Gesellschaft,Society / Company,Wir leben in einer modernen Gesellschaft.,We live in a modern society.
die Solidarität,Solidarity,In Krisenzeiten ist gesellschaftliche Solidarität besonders wichtig.,Social solidarity is particularly important in times of crisis.
der soziale Aufstieg,Social advancement,Bildung ist oft der Schlüssel für einen sozialen Aufstieg.,Education is often the key to social advancement.
