Neue Wörter,New words,"Example sentence here","Translation here"
leichter gesagt als getan,easier said than done,"Getting a job in the film industry is easier said than done.","Einen Job in der Filmindustrie zu bekommen, ist leichter gesagt als getan."
das Leitprinzip,guiding principle,"One of the guiding principles has to be trust.","Eines der Leitprinzipien muss Vertrauen sein."
sich etw. zum Prinzip machen,to make a point of,"She always made a point of talking to her grandmother.","Sie machte es sich immer zum Prinzip, mit ihrer Großmutter zu sprechen."
die Faustregel,rule of thumb,"My rule of thumb is that when the dough stops sticking, it's ready.","Meine Faustregel ist: Wenn der Teig nicht mehr klebt, ist er fertig."
etw. befolgen / auf etw. reagieren,to act on,"The police failed to act on the information they had received.","Die Polizei versäumte es, auf die erhaltenen Informationen zu reagieren."
der Aufschwung,boom,"The city is undergoing an economic boom.","Die Stadt erlebt gerade einen wirtschaftlichen Aufschwung."
individualistisch,individualistic,"Dutch society is individualistic and modern.","Die niederländische Gesellschaft ist individualistisch und modern."
etw. missverstehen,to misinterpret,"I think he deliberately misinterpreted my email.","Ich glaube, er hat meine E-Mail absichtlich missverstanden."
die Richtung weisen,to point the way,"The mistakes of the past should point the way for us in the future.","Die Fehler der Vergangenheit sollten uns die Richtung für die Zukunft weisen."
streben nach,to strive,"We must always strive for peace.","Wir müssen immer nach Frieden streben."
die Schmerzen / die Wehwehchen,aches and pains,"As you get older, you get more aches and pains.","Wenn man älter wird, bekommt man mehr Wehwehchen."
im Bedarfsfall,as and when,"We'll have the next meeting as and when it's necessary.","Wir werden das nächste Treffen im Bedarfsfall abhalten."
die Kleinigkeiten / der Kleinkram,bits and pieces,"Have you got all your bits and pieces?","Hast du all deinen Kleinkram dabei?"
der Kontrollfreak,control freak,"Don't be such a control freak!","Sei nicht so ein Kontrollfreak!"
der Träumer,dreamer,"My brother's just a dreamer.","Mein Bruder ist einfach ein Träumer."
ehrgeizig / getrieben,driven,"Her father was a driven man.","Ihr Vater war ein ehrgeiziger Mann."
die Familie,family,"There are five of us in our family.","Wir sind zu fünft in unserer Familie."
weit und breit,far and wide,"People come from far and wide to see Stonehenge.","Leute kommen von weit und breit, um Stonehenge zu sehen."
vor allem / in erster Linie,first and foremost,"Dan was first and foremost a brilliant musician.","Dan war in erster Linie ein brillanter Musiker."
der Freigeist,free spirit,"She's an artist, a free spirit.","Sie ist eine Künstlerin, ein Freigeist."
das Zuckerschlecken (in context),fun and games,"My job is not all fun and games.","Mein Job ist kein reines Zuckerschlecken."
der Witzbold,joker,"At school, he was always such a joker.","In der Schule war er immer so ein Witzbold."
abwertend / beurteilend,judgmental,"Do you realise how judgmental you are being?","Merkst du eigentlich, wie abwertend du bist?"
die Stimmungskanone,life and soul of the party,"She's the life and soul of every party she goes to.","Sie ist die Stimmungskanone auf jeder Party, zu der sie geht."
die Strömung / die Bewegung,movement,"The Scottish independence movement is growing.","Die schottische Unabhängigkeitsbewegung wächst."
kontaktfreudig,outgoing,"He's very funny and outgoing.","Er ist sehr lustig und kontaktfreudig."
Ruhe und Frieden,peace and quiet,"It's hard to find peace and quiet in the city.","Es ist schwer, in der Stadt Ruhe und Frieden zu finden."
wohlbehalten,safe and sound,"Everyone got home safe and sound.","Alle sind wohlbehalten nach Hause gekommen."
sich niederlassen / einleben,to settle down,"It's time to settle down and have children.","Es ist Zeit, sich niederzulassen und Kinder zu bekommen."
kurz und schmerzlos / kurz und bündig,short and sweet,"Keep your blog posts short and sweet.","Halte deine Blogeinträge kurz und bündig."
hin und her,to and fro,"Buses come to and fro all day long.","Busse fahren den ganzen Tag hin und her."
so ist das eben / unabänderliche Tatsache,a fact of life,"Stress at work is a fact of life these days.","Stress bei der Arbeit ist heutzutage eine unabänderliche Tatsache."
ein vergebliches Unterfangen,wild goose chase,"Don't bother, it'll just be a wild goose chase.","Lass es, das wird nur ein vergebliches Unterfangen."
aus allen Gesellschaftsschichten,all walks of life,"People from all walks of life attended the conference.","Menschen aus allen Gesellschaftsschichten nahmen an der Konferenz teil."
die Behauptung,assertion,"I disagreed with his assertion about the value of swimming lessons.","Ich widersprach seiner Behauptung über den Wert von Schwimmunterricht."
der Bluff,bluff,"We knew it was just a bluff.","Wir wussten, dass es nur ein Bluff war."
das Eis brechen,to break the ice,"A joke helped to break the ice.","Ein Witz half dabei, das Eis zu brechen."
