German Word,English Meaning,German Example Sentence,English Translation
Abgelenkt sein,to be distracted,Es ist leicht beim Lernen abgelenkt zu sein wenn man nicht konzentriert ist.,It is easy to get distracted while studying if you are not focused.
Aufschlussreich,insightful / informative,Das Buch war sehr aufschlussreich und hat mir neue Perspektiven eröffnet.,The book was very informative and opened up new perspectives for me.
Auszeit,timeout / break,Nach einer stressigen Woche brauche ich eine Auszeit.,After a stressful week I need a break.
auf Biegen und Brechen versuchen,to try by hook or by crook,Er würde auf Biegen und Brechen versuchen seine Ziele zu erreichen.,He would try by hook or by crook to achieve his goals.
auf ehrlichkeit beruhen,to be based on honesty,Ihre Beziehung beruht auf Ehrlichkeit und Vertrauen.,Their relationship is based on honesty and trust.
ausführliche Darlegung,detailed explanation,In seinem Bewerbungsschreiben gab er eine ausführliche Darlegung seiner Motivation.,In his application letter he gave a detailed explanation of his motivation.
die angestrebte Berufslaufbahn,desired career path,Er hat hart gearbeitet um seine angestrebte Berufslaufbahn zu erreichen.,He worked hard to achieve his desired career path.
eigenverantwortlich,self-responsible,Er erledigt seine Aufgaben sehr eigenverantwortlich.,He completes his tasks very independently and responsibly.
die Schlüsselkompetenz,key competency,Kommunikation ist eine wichtige Schlüsselkompetenz im Beruf.,Communication is an important key competency in the workplace.
das Leitbild,mission statement / guiding principle,Das Leitbild des Unternehmens betont Nachhaltigkeit.,The company's mission statement emphasises sustainability.
die Kernaufgabe,core task,Die Kernaufgabe dieser Abteilung ist die Qualitätssicherung.,The core task of this department is quality assurance.
ergebnisorientiert,results-oriented,Wir suchen ergebnisorientierte Mitarbeiter.,We are looking for results-oriented employees.
die Eigeninitiative,personal initiative,Er löst Probleme oft aus eigener Eigeninitiative.,He often solves problems on his own initiative.
die Zielorientierung,goal orientation,Zielorientierung ist eine wichtige Eigenschaft für Führungskräfte.,Goal orientation is an important quality for managers.
die Weitsicht,foresight,Weitsicht ist entscheidend für strategische Entscheidungen.,Foresight is crucial for strategic decisions.
nachhaltig,sustainable,Wir wirtschaften nachhaltig und umweltbewusst.,We operate sustainably and with environmental awareness.
die Transparenz,transparency,Transparenz ist eine Grundlage für Vertrauen im Team.,Transparency is a foundation for trust in the team.
die Effizienz,efficiency,Die Effizienz der Produktion wurde durch neue Maschinen gesteigert.,The efficiency of production was increased by new machines.
die Zuverlässigkeit,reliability,Zuverlässigkeit ist eine der wichtigsten Tugenden im Beruf.,Reliability is one of the most important virtues in the workplace.
die Verbindlichkeit,commitment / binding nature,Verbindlichkeit im Umgang mit Kunden ist sehr wichtig.,Commitment in dealing with customers is very important.
das Netzwerk,professional network,Ein gutes berufliches Netzwerk ist sehr wertvoll.,A good professional network is very valuable.
die Branchenkenntnis,industry knowledge,Tiefe Branchenkenntnisse sind für diese Stelle erforderlich.,Deep industry knowledge is required for this position.
das Projektmanagement,project management,Er hat einen Kurs in Projektmanagement absolviert.,He completed a course in project management.
die Teamdynamik,team dynamics,Eine positive Teamdynamik steigert die Produktivität.,A positive team dynamic increases productivity.
die Führungsqualität,leadership quality,Gute Führungsqualitäten zeichnen einen erfolgreichen Manager aus.,Good leadership qualities distinguish a successful manager.
die Entscheidungsfindung,decision-making,Schnelle Entscheidungsfindung ist im Management entscheidend.,Quick decision-making is crucial in management.
die Problemlösungskompetenz,problem-solving ability,Problemlösungskompetenz ist in jedem Beruf gefragt.,Problem-solving ability is sought after in every profession.
der Handlungsspielraum,scope of action,Mitarbeiter brauchen ausreichend Handlungsspielraum.,Employees need sufficient scope of action.
die Risikobereitschaft,willingness to take risks,Unternehmer müssen eine gewisse Risikobereitschaft mitbringen.,Entrepreneurs must have a certain willingness to take risks.
die Belastbarkeit,resilience / capacity for stress,Hohe Belastbarkeit wird in dieser Position vorausgesetzt.,High resilience is required in this position.
