German Word,English Meaning,German Example Sentence,English Translation
gut/schlecht anlaufen,to start well/badly,Das neue Projekt ist sehr gut angelaufen.,The new project started very well.
der Zimmerservice,room service,Der Zimmerservice bringt das Frühstück.,Room service brings breakfast.
fix und fertig sein,to be run down / exhausted,Nach der Schicht war ich fix und fertig.,"After the shift, I was completely exhausted."
schlecht gelaunt sein,to be in a bad mood,Warum bist du heute so schlecht gelaunt?,Why are you in such a bad mood today?
das Doppelzimmer (DZ),double room,Wir haben für die Gäste zwei Doppelzimmer gebucht.,We booked two double rooms for the guests.
das Einzelzimmer (EZ),single room,Ich bevorzuge auf Geschäftsreisen ein Einzelzimmer.,I prefer a single room on business trips.
die Zimmer-/Hotelkategorie,room/hotel category,Welche Hotelkategorie darf ich für Sie buchen?,Which hotel category may I book for you?
frei Haus,carriage free / free delivery,Ab einem Bestellwert von 500 Euro liefern wir frei Haus.,We offer free delivery for orders over 500 euros.
gut/schlecht wirtschaften,to manage one’s money well/badly,Die Firma hat in den letzten Jahren gut gewirtschaftet.,The company has managed its money well in recent years.
einrichten,to install / set up,"Ich helfe Ihnen, das Programm einzurichten.",I will help you set up the program.
einrichten,to set up / furnish,Wir müssen die neue Wohnung noch komplett einrichten.,We still need to completely furnish the new apartment.
einrichten,To furnish / To set up,Wir müssen unsere neue Wohnung noch fertig einrichten.,We still have to finish furnishing our new apartment.
Pech,Bad luck,Das war einfach nur Pech.,That was just bad luck.
