german_words,meaning_in_english,sentence,sentence_meaning
Abgelenkt sein,To be distracted,"Es ist leicht, beim Lernen abgelenkt zu sein, wenn man nicht konzentriert ist.",It's easy to get distracted while studying if you're not focused.
Angegestrebten berufslaufbahn,Desired career path,"Er hat hart gearbeitet, um seine angegestrebte Berufslaufbahn zu erreichen.",He worked hard to achieve his desired career path.
Anwendung des Verballists,Application of the verbal list,Die Anwendung des Verballists in der Linguistik kann sehr nützlich sein.,The application of the verbalist in linguistics can be very useful.
Auf Biegen und Brechen versuchen,Try by hook or by crook,"Er würde auf Biegen und Brechen versuchen, seine Ziele zu erreichen.",He would try by hook or by crook to achieve his goals.
Auf ehrlichkeit beruhren,Based on honesty,Ihre Beziehung beruht auf Ehrlichkeit und Vertrauen.,Their relationship is based on honesty and trust.
Aufschlussreich,"Insightful, informative",Das Buch war sehr aufschlussreich und hat mir neue Perspektiven eröffnet.,The book was very informative and opened up new perspectives for me.
Ausführliche Darlegung seiner Motivation,Detailed explanation of his motivation,In seinem Bewerbungsschreiben gab er eine ausführliche Darlegung seiner Motivation.,"In his application letter, he gave a detailed explanation of his motivation."
Auszeit,Timeout,Nach einer stressigen Woche brauche ich eine Auszeit.,"After a stressful week, I need a break."
Auswahl eines sympathischen Fotos,Selecting a sympathetic photo,Die Auswahl eines sympathischen Fotos für dein Profil kann einen großen Unterschied machen.,Choosing a sympathetic photo for your profile can make a big difference.
Beurteilung,Assessment,Die Beurteilung des Projekts wird nächste Woche stattfinden.,The project evaluation will take place next week.
Bewusst absolvierte,Consciously completed,"Er hat das Training bewusst absolviert, um seine Fähigkeiten zu verbessern.",He consciously completed the training to improve his skills.
Der arbeitsablauf,The work process,Der Arbeitsablauf in der Fabrik ist sehr effizient.,The workflow in the factory is very efficient.
Der erlesenem Genuss,The exquisite pleasure,Der erlesene Genuss eines guten Weins ist unvergleichlich.,The exquisite pleasure of a good wine is incomparable.
Der Gleichzeitigkeitswahn,Simultaneity delusion,In der heutigen Gesellschaft leiden viele Menschen unter dem Gleichzeitigkeitswahn.,"In today's society, many people suffer from simultaneity mania."
