German Word,English Meaning,German Example Sentence,English Translation
Hallo,hello,Hallo! Wie geht es dir?,Hello! How are you?
danke,thank you,Danke für deine Hilfe.,Thank you for your help.
bitte,please / you're welcome,Kannst du mir bitte helfen?,Can you please help me?
ja,yes,Ja, ich verstehe dich.,Yes, I understand you.
nein,no,Nein, das stimmt nicht.,No, that is not correct.
das Haus,house,Das Haus hat drei Zimmer.,The house has three rooms.
der Hund,dog,Der Hund ist sehr freundlich.,The dog is very friendly.
die Katze,cat,Die Katze schläft auf dem Sofa.,The cat is sleeping on the sofa.
das Wasser,water,Ich trinke jeden Tag viel Wasser.,I drink a lot of water every day.
essen,to eat,Wir essen jeden Abend zusammen.,We eat together every evening.
