Target Word,English Meaning,Example Sentence,English Translation
l'entreprise,company / business,L'entreprise a été fondée il y a vingt ans.,The company was founded twenty years ago.
le contrat,contract,Le contrat a été signé hier.,The contract was signed yesterday.
négocier,to negotiate,Les deux parties ont négocié pendant plusieurs heures.,Both parties negotiated for several hours.
la réunion,meeting,La réunion commence à neuf heures précises.,The meeting starts at nine o'clock sharp.
le budget,budget,Nous devons respecter le budget alloué.,We must stick to the allocated budget.
gérer,to manage,Elle sait très bien gérer son équipe.,She is very good at managing her team.
l'objectif,objective / goal,Notre principal objectif est d'augmenter les ventes.,Our main objective is to increase sales.
la stratégie,strategy,Il faut définir une stratégie claire à long terme.,A clear long-term strategy must be defined.
le bénéfice,profit / benefit,L'entreprise a réalisé un bénéfice record cette année.,The company made a record profit this year.
la concurrence,competition,La concurrence est très forte dans ce secteur.,Competition is very strong in this sector.
former,to train / to form,Nous allons former les nouveaux employés la semaine prochaine.,We are going to train the new employees next week.
le rapport,report,Il faut remettre le rapport avant vendredi.,The report must be submitted before Friday.
investir,to invest,Il est risqué d'investir en période d'incertitude.,It is risky to invest during times of uncertainty.
la croissance,growth,La croissance économique ralentit depuis quelques mois.,Economic growth has been slowing for several months.
le marché,market,Ce nouveau produit cible un marché très spécifique.,This new product targets a very specific market.
