Target Word,English Meaning,Example Sentence,English Translation
apartment,a flat / dwelling in a building,My apartment is on the third floor.,My apartment is on the third floor.
supermarket,large grocery store,I am going to the supermarket this afternoon.,I am going to the supermarket this afternoon.
breakfast,first meal of the day,I have breakfast at seven o'clock.,I have breakfast at seven o'clock.
to travel,to go from place to place,I love travelling around Europe.,I love travelling around Europe.
train,rail transport vehicle,The train leaves at nine o'clock.,The train leaves at nine o'clock.
sick,feeling unwell / ill,I was sick last week.,I was sick last week.
to buy,to purchase something,I want to buy new clothes.,I want to buy new clothes.
to understand,to grasp the meaning of,I do not understand this question.,I do not understand this question.
to look for,to search for something,I am looking for a good restaurant.,I am looking for a good restaurant.
city,large urban settlement,The city has many museums.,The city has many museums.
to return,to go back somewhere,I go home at seven in the evening.,I go home at seven in the evening.
street,road in a town or city,There are many shops on this street.,There are many shops on this street.
shop,a place to buy goods,The shop closes at eight in the evening.,The shop closes at eight in the evening.
to learn,to gain knowledge or skill,I have been learning English for two years.,I have been learning English for two years.
to find,to discover or locate,I cannot find my keys.,I cannot find my keys.
