Target Word,English Meaning,Example Sentence,English Translation
bonjour,hello / good morning,Bonjour ! Comment allez-vous ?,Hello! How are you?
merci,thank you,Merci pour votre aide.,Thank you for your help.
s'il vous plaît,please,Pouvez-vous m'aider, s'il vous plaît ?,Can you help me, please?
oui,yes,Oui, je comprends.,Yes, I understand.
non,no,Non, ce n'est pas correct.,No, that is not correct.
la maison,house,La maison a trois chambres.,The house has three bedrooms.
l'eau,water,Je bois beaucoup d'eau chaque jour.,I drink a lot of water every day.
manger,to eat,Nous mangeons ensemble chaque soir.,We eat together every evening.
le livre,book,Je lis un livre intéressant.,I am reading an interesting book.
parler,to speak,J'aime parler français.,I like to speak French.
l'ami / l'amie,friend,Mon amie habite à Paris.,My friend lives in Paris.
le temps,weather / time,Le temps est très beau aujourd'hui.,The weather is very nice today.
le chien,dog,Le chien est très gentil.,The dog is very friendly.
le chat,cat,Le chat dort sur le canapé.,The cat is sleeping on the sofa.
travailler,to work,Je travaille dans un bureau.,I work in an office.
