German Word,English Meaning,German Example Sentence,English Translation
die Berechtigung,authorisation / eligibility,"Haben Sie die Berechtigung, diesen Stapler zu fahren?",Do you have the authorisation to drive this forklift?
der/die Vorgesetzte,superior,Mein Vorgesetzter ist sehr verständnisvoll.,My superior is very understanding.
vertraglich vereinbaren,to agree by contract,Der Bonus wurde vertraglich vereinbart.,The bonus was agreed by contract.
zuzüglich der gesetzlich geltenden Mehrwertsteuer,plus statutory value-added tax,Der Preis versteht sich zuzüglich der gesetzlich geltenden Mehrwertsteuer.,The price is plus statutory value-added tax.
inklusive der gesetzlich geltenden Mehrwertsteuer,including statutory value-added tax,Der Endpreis ist inklusive der gesetzlich geltenden Mehrwertsteuer.,The final price is including statutory value-added tax.
ungerecht,unfair,Ich empfinde diese Entscheidung als ungerecht.,I feel this decision is unfair.
recht bekommen,to get one's own way / be proven right,Vor Gericht haben wir recht bekommen.,We were proven right in court.
die Ausnahmegenehmigung,special authorisation,Für Nachtarbeit brauchen wir eine Ausnahmegenehmigung.,We need a special authorisation for night work.
der Werkvertrag,contract for work and services,Der Grafiker arbeitet über einen Werkvertrag.,The graphic designer works via a contract for work and services.
den Vertrag verlängern,to extend the contract,Wir möchten Ihren Vertrag gerne verlängern.,We would like to extend your contract.
die Gleichberechtigung,equal rights,Wir setzen uns für Gleichberechtigung am Arbeitsplatz ein.,We advocate for equal rights in the workplace.
beklagen,to complain / lament,Viele Bürger beklagen die hohen Mietpreise.,Many citizens complain about the high rental prices.
die Ausnahmegenehmigung,special permit / exception,Für das Parken in der Fußgängerzone braucht man eine Ausnahmegenehmigung.,You need a special permit for parking in the pedestrian zone.
die Berechtigung,Authorization / Entitlement,"Haben Sie die Berechtigung, dieses Gebäude zu betreten?",Do you have the authorization to enter this building?
